ad_archive_id,ad_creative_bodies
988735132879405,"#НемаОткажувањеОдИднината 
#СДСМ #Аеродром
#Македонија"
1138731707263665,"Денес разговаравме за потребата за целосна и активна мобилизација на демократските сили за да се осигура понатамошниот прогрес на државата. 

Сѐ уште не е доцна да се смени правецот. СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1"
1462600661315120,"СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. 

Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. 

СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1"
1168468637617703,"Денес разговаравме за потребата за целосна и активна мобилизација на демократските сили за да се осигура понатамошниот прогрес на државата. 

Сѐ уште не е доцна да се смени правецот. СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1"
1366791877252741,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺"
322751967223848,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺"
456735526881991,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺"
788562043220491,"Немаме резервна татковина, Македонија мора да стане европска држава.

Македонија има многу знаење, Македонија има многу голема сила и енергија дома! За таа цел, ја креиравме програмата за европска иднина. Прецизна, јасна, реална, остварлива, креирана да ја крене таа енергија и македонско знаење.

Нема откажување од иднината!"
1868951333621553,"На претстојните избори, изборот е помеѓу надеж и безнадежност! Помеѓу европската иднина и заглавување во минатото со ВМРО ДПМНЕ.

Сакаме секој жител на Македонија да остане и да ја гради својата иднина тука, во нашата држава.

Затоа Ве повикувамe, да не се откажуваме од иднината и заедно да се избориме за подобра иднина за сите.

На изборите на 24 април, и 8 мај да го заокружиме бројот 1, да гласаме за нашиот претседател Стево Пендаровски, за СДСМ и Колаицијата за европска иднина."
441160645064798,"Во наредните четири години просечната плата ќе достигне рекордни 1.100 евра, а минималната плата ќе изнесува 600 евра.

Во 2028 година минималната пензија ќе биде 20.000 денари, а просечната пензија 30.000 денари.

Продолжуваме и со поддршката за младите! Предвидовме 200 евра месечно во првите 12 месеци за секое прво вработување на лица до 26 години.

Силна поддршка за домашната економија – 180 милиони евра директна поддршка за домашните компании + 3,5 милијарди евра капитални инвестиции.

На претстојните избори, изборот е помеѓу надеж и безнадежност! Помеѓу европската иднина и заглавување во минатото со ВМРО ДПМНЕ.

Сакаме секој жител на Македонија да остане и да ја гради својата иднина тука, во нашата држава.

Затоа Ве повикувамe, да не се откажуваме од иднината и заедно да се избориме за подобра иднина за сите.

На изборите на 24 април, и 8 мај да го заокружиме бројот 1, да гласаме за нашиот претседател Стево Пендаровски, за СДСМ и Колаицијата за европска иднина."
2103884769993693,"Почитувани граѓани, ве покануваме на голем сенароден митинг во недела, 21 април пред зградата на ЕУ во Скопје. 

Место на тргнување за Аеродром е Нова железничка станица, до зградата на Неоком, во 12:00 часот. 

Заедно со СДСМ, Коалицијата за европска иднина и нашиот претседател Стево Пендаровски да покажеме дека сите заедно сме сплотени во нашата заедничка цел, европската иднина на нашата држава.

Нема откажување од иднината! 🇲🇰🇪🇺"
